Date,Day,Time,Speed,Direction
2020.08.01,Saturday,11:36,38,2
2020.08.01,Saturday,11:37,41,2
2020.08.01,Saturday,11:37,35,1
2020.08.01,Saturday,11:37,37,2
2020.08.01,Saturday,11:37,53,2
2020.08.01,Saturday,11:37,40,1
2020.08.01,Saturday,11:37,53,1
2020.08.01,Saturday,11:37,44,2
2020.08.01,Saturday,11:38,76,1
2020.08.01,Saturday,11:38,41,2
2020.08.01,Saturday,11:38,63,1
2020.08.01,Saturday,11:38,58,1
2020.08.01,Saturday,11:38,50,1
2020.08.01,Saturday,11:39,33,2
2020.08.01,Saturday,11:39,33,1
2020.08.01,Saturday,11:39,42,1
2020.08.01,Saturday,11:39,41,1
2020.08.01,Saturday,11:39,58,1
2020.08.01,Saturday,11:39,39,1
2020.08.01,Saturday,11:40,44,1
2020.08.01,Saturday,11:40,57,1
2020.08.01,Saturday,11:40,51,2
2020.08.01,Saturday,11:40,44,2
2020.08.01,Saturday,11:41,83,1
2020.08.01,Saturday,11:41,72,1
2020.08.01,Saturday,11:41,57,1
2020.08.01,Saturday,11:41,39,2
2020.08.01,Saturday,11:41,61,1
2020.08.01,Saturday,11:41,62,1
2020.08.01,Saturday,11:41,60,1
2020.08.01,Saturday,11:41,63,1
2020.08.01,Saturday,11:42,63,1
2020.08.01,Saturday,11:42,30,2
2020.08.01,Saturday,11:42,49,2
2020.08.01,Saturday,11:43,44,2
2020.08.01,Saturday,11:43,43,2
2020.08.01,Saturday,11:43,42,2
2020.08.01,Saturday,11:43,45,1
2020.08.01,Saturday,11:43,42,2
2020.08.01,Saturday,11:43,34,1
2020.08.01,Saturday,11:43,32,1
2020.08.01,Saturday,11:43,46,1
2020.08.01,Saturday,11:44,53,1
2020.08.01,Saturday,11:44,42,2
2020.08.01,Saturday,11:44,53,2
2020.08.01,Saturday,11:44,40,2
2020.08.01,Saturday,11:44,44,2
2020.08.01,Saturday,11:44,42,2
2020.08.01,Saturday,11:45,56,1
2020.08.01,Saturday,11:45,37,2
2020.08.01,Saturday,11:45,35,2
2020.08.01,Saturday,11:45,37,2
2020.08.01,Saturday,11:45,54,1
2020.08.01,Saturday,11:45,52,1
2020.08.01,Saturday,11:45,53,1
2020.08.01,Saturday,11:45,51,1
2020.08.01,Saturday,11:45,55,1
2020.08.01,Saturday,11:45,40,2
2020.08.01,Saturday,11:45,44,2
2020.08.01,Saturday,11:45,79,1
2020.08.01,Saturday,11:45,52,2
2020.08.01,Saturday,11:46,37,2
2020.08.01,Saturday,11:46,44,2
2020.08.01,Saturday,11:46,31,1
2020.08.01,Saturday,11:46,56,1
2020.08.01,Saturday,11:46,48,1
2020.08.01,Saturday,11:47,44,2
2020.08.01,Saturday,11:47,39,2
2020.08.01,Saturday,11:47,47,2
2020.08.01,Saturday,11:47,52,1
2020.08.01,Saturday,11:47,45,1
2020.08.01,Saturday,11:47,48,1
2020.08.01,Saturday,11:48,70,1
2020.08.01,Saturday,11:48,39,2
2020.08.01,Saturday,11:48,66,1
2020.08.01,Saturday,11:48,63,1
2020.08.01,Saturday,11:48,67,1
2020.08.01,Saturday,11:49,45,2
2020.08.01,Saturday,11:49,40,2
2020.08.01,Saturday,11:49,46,2
2020.08.01,Saturday,11:49,50,2
2020.08.01,Saturday,11:49,50,2
2020.08.01,Saturday,11:49,57,1
2020.08.01,Saturday,11:49,45,2
2020.08.01,Saturday,11:49,51,1
2020.08.01,Saturday,11:50,56,2
2020.08.01,Saturday,11:50,45,2
2020.08.01,Saturday,11:50,39,2
2020.08.01,Saturday,11:50,52,1
2020.08.01,Saturday,11:50,67,1
2020.08.01,Saturday,11:50,43,2
2020.08.01,Saturday,11:50,66,1
2020.08.01,Saturday,11:50,69,1
2020.08.01,Saturday,11:51,61,1
2020.08.01,Saturday,11:51,45,2
2020.08.01,Saturday,11:51,40,2
2020.08.01,Saturday,11:52,38,2
2020.08.01,Saturday,11:52,56,1
2020.08.01,Saturday,11:52,67,1
2020.08.01,Saturday,11:52,34,2
2020.08.01,Saturday,11:52,55,1
2020.08.01,Saturday,11:52,52,1
2020.08.01,Saturday,11:52,40,2
2020.08.01,Saturday,11:52,46,2
2020.08.01,Saturday,11:52,48,2
2020.08.01,Saturday,11:52,45,2
2020.08.01,Saturday,11:53,70,1
2020.08.01,Saturday,11:53,67,1
2020.08.01,Saturday,11:53,56,2
2020.08.01,Saturday,11:53,69,1
2020.08.01,Saturday,11:53,57,1
2020.08.01,Saturday,11:53,49,2
2020.08.01,Saturday,11:53,52,1
2020.08.01,Saturday,11:53,46,1
2020.08.01,Saturday,11:53,60,1
2020.08.01,Saturday,11:54,36,2
2020.08.01,Saturday,11:54,55,2
2020.08.01,Saturday,11:54,46,2
2020.08.01,Saturday,11:54,34,2
2020.08.01,Saturday,11:54,59,1
2020.08.01,Saturday,11:54,46,2
2020.08.01,Saturday,11:55,46,1
2020.08.01,Saturday,11:55,48,2
2020.08.01,Saturday,11:55,49,2
2020.08.01,Saturday,11:55,63,1
2020.08.01,Saturday,11:56,65,1
2020.08.01,Saturday,11:56,55,2
2020.08.01,Saturday,11:56,48,1
2020.08.01,Saturday,11:56,47,2
2020.08.01,Saturday,11:56,43,1
2020.08.01,Saturday,11:56,36,2
2020.08.01,Saturday,11:56,56,2
2020.08.01,Saturday,11:57,35,2
2020.08.01,Saturday,11:57,40,2
2020.08.01,Saturday,11:57,39,2
2020.08.01,Saturday,11:57,42,2
2020.08.01,Saturday,11:57,41,2
2020.08.01,Saturday,11:57,37,1
2020.08.01,Saturday,11:57,57,1
2020.08.01,Saturday,11:58,51,1
2020.08.01,Saturday,11:58,52,2
2020.08.01,Saturday,11:58,40,2
2020.08.01,Saturday,11:58,45,2
2020.08.01,Saturday,11:58,55,2
2020.08.01,Saturday,11:58,72,1
2020.08.01,Saturday,11:58,68,1
2020.08.01,Saturday,11:58,47,1
2020.08.01,Saturday,11:59,77,1
2020.08.01,Saturday,11:59,50,1
2020.08.01,Saturday,11:59,55,2
2020.08.01,Saturday,11:59,105,1
2020.08.01,Saturday,11:59,29,2
2020.08.01,Saturday,11:59,61,1
2020.08.01,Saturday,11:59,62,1
2020.08.01,Saturday,12:00,54,2
2020.08.01,Saturday,12:00,49,1
2020.08.01,Saturday,12:00,57,1
2020.08.01,Saturday,12:00,63,1
2020.08.01,Saturday,12:00,62,1
2020.08.01,Saturday,12:00,39,2
2020.08.01,Saturday,12:00,59,1
2020.08.01,Saturday,12:01,63,1
2020.08.01,Saturday,12:01,44,2
2020.08.01,Saturday,12:01,46,2
2020.08.01,Saturday,12:01,56,1
2020.08.01,Saturday,12:01,57,1
2020.08.01,Saturday,12:01,52,1
2020.08.01,Saturday,12:02,68,1
2020.08.01,Saturday,12:02,60,1
2020.08.01,Saturday,12:02,57,1
2020.08.01,Saturday,12:02,53,1
2020.08.01,Saturday,12:02,56,1
2020.08.01,Saturday,12:03,46,1
2020.08.01,Saturday,12:03,35,2
2020.08.01,Saturday,12:03,34,2
2020.08.01,Saturday,12:03,40,2
2020.08.01,Saturday,12:03,60,1
2020.08.01,Saturday,12:03,43,2
2020.08.01,Saturday,12:04,39,1
2020.08.01,Saturday,12:04,56,1
2020.08.01,Saturday,12:04,60,1
2020.08.01,Saturday,12:04,54,1
2020.08.01,Saturday,12:04,44,2
2020.08.01,Saturday,12:04,49,2
2020.08.01,Saturday,12:04,58,1
2020.08.01,Saturday,12:04,47,1
2020.08.01,Saturday,12:05,55,1
2020.08.01,Saturday,12:05,76,1
2020.08.01,Saturday,12:05,43,1
2020.08.01,Saturday,12:05,41,2
2020.08.01,Saturday,12:05,52,1
2020.08.01,Saturday,12:05,49,2
2020.08.01,Saturday,12:05,37,2
2020.08.01,Saturday,12:05,33,2
2020.08.01,Saturday,12:06,62,1
2020.08.01,Saturday,12:06,38,2
2020.08.01,Saturday,12:06,42,2
2020.08.01,Saturday,12:06,44,2
2020.08.01,Saturday,12:06,48,2
2020.08.01,Saturday,12:06,32,2
2020.08.01,Saturday,12:06,70,1
2020.08.01,Saturday,12:07,62,1
2020.08.01,Saturday,12:07,40,2
2020.08.01,Saturday,12:07,56,1
2020.08.01,Saturday,12:07,54,1
2020.08.01,Saturday,12:07,37,2
2020.08.01,Saturday,12:07,35,2
2020.08.01,Saturday,12:07,53,1
2020.08.01,Saturday,12:07,50,1
2020.08.01,Saturday,12:07,43,1
2020.08.01,Saturday,12:08,46,1
2020.08.01,Saturday,12:08,29,2
2020.08.01,Saturday,12:08,48,1
2020.08.01,Saturday,12:08,105,1
2020.08.01,Saturday,12:08,45,2
2020.08.01,Saturday,12:08,36,1
2020.08.01,Saturday,12:09,59,1
2020.08.01,Saturday,12:09,74,1
2020.08.01,Saturday,12:09,46,2
2020.08.01,Saturday,12:09,75,1
2020.08.01,Saturday,12:09,69,2
2020.08.01,Saturday,12:09,30,1
2020.08.01,Saturday,12:09,76,1
2020.08.01,Saturday,12:10,68,1
2020.08.01,Saturday,12:10,52,2
2020.08.01,Saturday,12:10,30,2
2020.08.01,Saturday,12:10,64,1
2020.08.01,Saturday,12:10,53,1
2020.08.01,Saturday,12:10,57,1
2020.08.01,Saturday,12:10,52,2
2020.08.01,Saturday,12:11,51,2
2020.08.01,Saturday,12:11,55,1
2020.08.01,Saturday,12:11,54,1
2020.08.01,Saturday,12:11,35,2
2020.08.01,Saturday,12:11,41,2
2020.08.01,Saturday,12:11,78,1
2020.08.01,Saturday,12:12,34,2
2020.08.01,Saturday,12:12,33,2
2020.08.01,Saturday,12:12,34,1
2020.08.01,Saturday,12:12,47,1
2020.08.01,Saturday,12:12,51,1
2020.08.01,Saturday,12:12,53,2
2020.08.01,Saturday,12:12,51,1
2020.08.01,Saturday,12:12,39,2
2020.08.01,Saturday,12:13,77,1
2020.08.01,Saturday,12:13,77,1
2020.08.01,Saturday,12:13,47,2
2020.08.01,Saturday,12:13,51,2
2020.08.01,Saturday,12:13,74,1
2020.08.01,Saturday,12:14,41,2
2020.08.01,Saturday,12:14,62,1
2020.08.01,Saturday,12:14,67,1
2020.08.01,Saturday,12:14,62,1
2020.08.01,Saturday,12:14,68,1
2020.08.01,Saturday,12:14,45,2
2020.08.01,Saturday,12:15,21,2
2020.08.01,Saturday,12:15,42,2
2020.08.01,Saturday,12:15,45,2
2020.08.01,Saturday,12:15,63,1
2020.08.01,Saturday,12:15,55,1
2020.08.01,Saturday,12:15,63,1
2020.08.01,Saturday,12:15,58,1
2020.08.01,Saturday,12:16,62,1
2020.08.01,Saturday,12:16,69,1
2020.08.01,Saturday,12:16,28,1
2020.08.01,Saturday,12:16,49,2
2020.08.01,Saturday,12:16,42,2
2020.08.01,Saturday,12:17,70,1
2020.08.01,Saturday,12:17,51,2
2020.08.01,Saturday,12:17,54,1
2020.08.01,Saturday,12:17,53,2
2020.08.01,Saturday,12:17,45,2
2020.08.01,Saturday,12:17,46,1
2020.08.01,Saturday,12:18,65,1
2020.08.01,Saturday,12:18,63,1
2020.08.01,Saturday,12:18,40,2
2020.08.01,Saturday,12:18,63,1
2020.08.01,Saturday,12:18,48,2
2020.08.01,Saturday,12:18,65,1
2020.08.01,Saturday,12:19,68,1
2020.08.01,Saturday,12:19,34,2
2020.08.01,Saturday,12:19,76,1
2020.08.01,Saturday,12:19,32,2
2020.08.01,Saturday,12:19,75,1
2020.08.01,Saturday,12:19,43,2
2020.08.01,Saturday,12:19,52,1
2020.08.01,Saturday,12:19,74,1
2020.08.01,Saturday,12:20,82,1
2020.08.01,Saturday,12:20,68,1
2020.08.01,Saturday,12:20,57,1
2020.08.01,Saturday,12:20,50,2
2020.08.01,Saturday,12:20,52,2
2020.08.01,Saturday,12:20,80,1
2020.08.01,Saturday,12:20,71,1
2020.08.01,Saturday,12:20,72,1
2020.08.01,Saturday,12:20,39,2
2020.08.01,Saturday,12:21,61,1
2020.08.01,Saturday,12:21,78,1
2020.08.01,Saturday,12:21,46,2
2020.08.01,Saturday,12:21,43,2
2020.08.01,Saturday,12:21,73,1
2020.08.01,Saturday,12:21,40,2
2020.08.01,Saturday,12:21,40,2
2020.08.01,Saturday,12:21,76,1
2020.08.01,Saturday,12:21,41,2
2020.08.01,Saturday,12:22,47,2
2020.08.01,Saturday,12:22,50,1
2020.08.01,Saturday,12:22,66,1
2020.08.01,Saturday,12:22,44,1
2020.08.01,Saturday,12:22,41,1
2020.08.01,Saturday,12:22,47,2
2020.08.01,Saturday,12:22,65,1
2020.08.01,Saturday,12:23,50,2
2020.08.01,Saturday,12:23,47,2
2020.08.01,Saturday,12:23,45,2
2020.08.01,Saturday,12:23,32,2
2020.08.01,Saturday,12:23,50,2
2020.08.01,Saturday,12:23,59,1
2020.08.01,Saturday,12:23,62,1
2020.08.01,Saturday,12:23,55,1
2020.08.01,Saturday,12:24,37,2
2020.08.01,Saturday,12:24,43,1
2020.08.01,Saturday,12:24,38,2
2020.08.01,Saturday,12:24,60,1
2020.08.01,Saturday,12:24,61,1
2020.08.01,Saturday,12:24,50,2
2020.08.01,Saturday,12:24,54,1
2020.08.01,Saturday,12:24,65,1
2020.08.01,Saturday,12:25,36,2
2020.08.01,Saturday,12:25,39,2
2020.08.01,Saturday,12:25,39,2
2020.08.01,Saturday,12:25,33,2
2020.08.01,Saturday,12:25,59,2
2020.08.01,Saturday,12:26,61,1
2020.08.01,Saturday,12:26,54,1
2020.08.01,Saturday,12:26,61,1
2020.08.01,Saturday,12:26,36,2
2020.08.01,Saturday,12:26,57,1
2020.08.01,Saturday,12:27,74,1
2020.08.01,Saturday,12:27,25,2
2020.08.01,Saturday,12:27,33,2
2020.08.01,Saturday,12:27,36,2
2020.08.01,Saturday,12:27,59,1
2020.08.01,Saturday,12:27,46,2
2020.08.01,Saturday,12:27,63,1
2020.08.01,Saturday,12:28,56,1
2020.08.01,Saturday,12:28,33,2
2020.08.01,Saturday,12:28,51,1
2020.08.01,Saturday,12:28,25,2
2020.08.01,Saturday,12:28,41,2
2020.08.01,Saturday,12:28,42,2
2020.08.01,Saturday,12:28,54,1
2020.08.01,Saturday,12:28,55,1
2020.08.01,Saturday,12:28,68,1
2020.08.01,Saturday,12:29,41,1
2020.08.01,Saturday,12:29,44,2
2020.08.01,Saturday,12:29,48,1
2020.08.01,Saturday,12:29,58,2
2020.08.01,Saturday,12:29,68,1
